codpostal,coordx,coordy,direccion,fax,idcentrorc,latitud,localidad,longitud,mail,naturaleza,nombre_cen,objectid,refpar,shape,srs,telefono,tipo_centr,web,xcen,ycen
44570,732600,4536501,"P.º Alcañiz, 27",0,44005104,40.94654660,Calanda,-0.23667449,iescalanda@educa.aragon.es,Público,Valle Del Guadalope,7389, ,0101000020E6640000285305E3705B2641CA32C42D2D4E5141,25830,978 84 60 02,Instituto de Educación Secundaria (IES),http://iescalan.educa.aragon.es,732600.44,4536500.72
44400,691484,4457504,"Avda. Ibáñez Martín, S/N",0,44005116,40.24610121,Mora De Rubielos,-0.74873397,Iesmora@Educa.Aragob.Es,Público,Gúdar-Javalambre,7390, ,0101000020E664000020FDF6F5371A2541221FF4F007015141,25830,978 80 04 09,Instituto de Educación Secundaria (IES),http://iesmora.educa.aragon.es,691483.98,4457503.76
44392,640358,4527258,"Cl. San Miguel, 26",978731504,44005165,40.88437822,Poyo Del Cid (El),-1.33403370,crapoyocid@educa.aragon.es,Público,C.R.A. El Poyo Del Cid,7391, ,0101000020E6640000A01A2F7DCB8A2341DE93877926455141,25830,978 73 15 04,Colegio Público,http://crapoyoc.educa.aragon.es,640357.74,4527257.90
44132,650468,4447498,"Cl. Molino, 68",978784185,44005189,40.16437253,Libros,-1.23305676,cplibros@educa.aragon.es,Público,C.R.A. De Libros,7392, ,0101000020E664000070D71212C7D923415A643B7B42F75041,25830,978 78 41 85,Colegio Público,http://adigital.pntic.mec.es/~libros/,650467.54,4447497.93
44140,719871,4489043,"Avda. Maestrazgo, 5",0,44005190,40.52298054,Cantavieja,-0.40440886,iescantavieja@educa.aragon.es,Público,Sección Del I.E.S.  Segundo De Chomón,7393, ,0101000020E6640000F80FE977FEF725415817B7ADD41F5141,25830,964 18 51 10,Instituto de Educación Secundaria (IES),http://iescanta.educa.aragon.es,719871.23,4489042.71
44300,638991,4516807,"Cl.  Gonzalo De Liria, 2 - 2ª Plta.",0,44005219,40.79050719,Monreal Del Campo,-1.35258499, ,Público,Escuela  De Música,7394, ,0101000020E6640000E8FBA9711D802341B07268D9F13A5141,25830,978 86 33 73,Escuela Pública de Música y/o Danza, ,638990.72,4516807.40
44001,660726,4467582,"Cl. Mariano Muñoz Nogués, 11-13",0,44010011,40.34331618,Teruel,-1.10762433, ,Concertado,Escuela Sup. De Hostelería De Aragón,7395, ,0101000020E6640000208E7511EB292441D0D5566CDF0A5141,25830,978 60 01 35,Centro Privado de Formación Profesional Específica,http://www.educa.aragob.es/eshoster/,660725.53,4467581.69
44300,638991,4516807,"Cl. Gonzalo De Liria, 2",0,44010021,40.79050719,Monreal Del Campo,-1.35258499, ,Público,Extensión De E.O.I.,7396, ,0101000020E6640000E8FBA9711D802341B07268D9F13A5141,25830,978 62 05 57,Escuela Oficial de Idiomas (EOI), ,638990.72,4516807.40
44760,681296,4520478,"Cl.  Miguel Servet, 4",0,44010033,40.81530164,Utrillas,-0.85038875, ,Público,Extensión De E.O.I.,7397, ,0101000020E6640000603255309FCA2441482EFF65873E5141,25830,978 75 80 50,Escuela Oficial de Idiomas (EOI), ,681295.59,4520477.59
44200,643528,4531465,"Avda. Zaragoza, 42",0,44010045,40.92171221,Calamocha,-1.29544652, ,Público,Extensión De E.O.I.,7398, ,0101000020E664000010E02D3090A323413A014D4842495141,25830,978 73 01 37,Escuela Oficial de Idiomas (EOI), ,643528.09,4531465.13
